neighbourhood,Number_of_Listings,Number_of_Hosts,Number_of_Neighbours,Average_Price,Average_Number_of_Nights,Average_Number_of_Reviews,Average_number_of_Reviews_per_Month,AVerage_Host_List_Count,Average_Availability
Tompkinsville,40,23,1,77.25,2,60,2.21,2,217
Tottenville,5,4,1,160.8,2,27,1.15,1,228
Tremont,10,7,1,49.9,2,22,1.24,1,130
Tribeca,110,98,1,460.3,6,18,0.83,9,114
Two Bridges,60,54,1,122.22,5,35,2.4,1,96
Unionport,5,4,1,162,1,20,3.04,1,252
University Heights,17,11,1,67.71,2,45,1.37,2,143
Upper East Side,1405,1129,1,167.3,8,22,1.08,6,114
Upper West Side,1482,1232,1,186.61,8,24,1,4,97
Van Nest,9,5,1,58.56,8,22,2,2,110
Vinegar Hill,26,24,1,172.69,7,20,0.83,1,77
Wakefield,41,32,1,75.71,3,31,2.29,1,208
Washington Heights,721,607,1,86.98,6,23,1.22,2,106
West Brighton,16,8,1,66.25,5,41,1.44,2,264
West Farms,2,2,1,122,1,3,0.4,1,244
West Village,610,565,1,250.33,6,24,0.94,2,85
Westchester Square,9,6,1,127.44,2,17,1.61,1,137
Westerleigh,2,2,1,71.5,2,9,0.51,1,112
Whitestone,8,5,1,127.88,1,31,3.32,2,152
Williamsbridge,34,23,1,104.41,4,33,2.13,2,247
Williamsburg,3163,2724,1,139.81,5,27,1.1,1,78
Willowbrook,1,1,1,249,4,9,0.8,2,351
Windsor Terrace,128,111,1,130.69,9,33,1.21,1,93
Woodhaven,72,39,1,62.72,2,38,2.26,3,206
Woodlawn,11,9,1,60.09,1,44,2.37,1,98
Woodside,170,117,1,89.85,7,29,1.69,12,137
